product_id,product_name,category,subcategory,cost_price
1,wireless Education 403,Books,Education,2952.28
2,cotton Mobiles 891,Electronics,Mobiles,189.37
3,eco Audio 744,Electronics,Audio,12985.07
4,premium Fiction 650,Books,Fiction,13189.27
5,pro Fiction 802,Books,Fiction,6931.64
6,  SMART kITCHEN 175  ,Home,Kitchen,8406.62
7,ergonomic Kids 497,Clothing,Kids,6114.36
8,ergonomic Kitchen 789,Home,Kitchen,168.01
9,  PRO mOBILES 968  ,Electronics,Mobiles,1663.54
10,classic Kitchen 883,Home,Kitchen,5770.69
11,cotton Cameras 646,Electronics,Cameras,11221.57
12,classic Decor 793,Home,Decor,14483.25
13,compact Kitchen 995,Home,Kitchen,1918.67
14,compact Cameras 660,Electronics,Cameras,4625.99
15,ergonomic Decor 761,Home,Decor,2205.43
16,deluxe Women 954,Clothing,Women,1790.17
17,  ECO cAMERAS 662  ,Electronics,Cameras,3820.26
18,portable Footwear 465,Clothing,Footwear,9859.66
19,deluxe Computers 171,Electronics,Computers,4821.37
20,deluxe Technology 775,Books,Technology,8795.82
21,  ERGONOMIC FURNITURE 272  ,Home,Furniture,3385.16
22,urban Technology 468,Books,Technology,11015.95
23,modern Education 467,Books,Education,7345.61
24,eco Audio 721,Electronics,Audio,4266.79
25,classic Women 851,Clothing,Women,1220.82
26,urban Mobiles 619,Electronics,Mobiles,12204.62
27,essential Business 137,Books,Business,8188.56
28,portable Business 501,Books,Business,11600.4
29,modern Decor 613,Home,Decor,6000.03
30,urban Audio 925,Electronics,Audio,10287.69
31,cotton Footwear 283,Clothing,Footwear,8521.92
32,portable Footwear 141,Clothing,Footwear,7355.62
33,  PORTABLE COMPUTERS 339  ,Electronics,Computers,13623.27
34,modern Storage 565,Home,Storage,675.38
35,pro Kitchen 633,Home,Kitchen,4160.55
36,ergonomic Decor 769,Home,Decor,8848.17
37,ergonomic Computers 328,Electronics,Computers,5345.24
38,daily Storage 593,Home,Storage,178.44
39,  COTTON fOOTWEAR 335  ,Clothing,Footwear,3235.84
40,portable Women 716,Clothing,Women,1845.49
41,daily Footwear 438,Clothing,Footwear,7264.23
42,premium Education 704,Books,Education,12513.81
43,wireless Audio 230,Electronics,Audio,2484.05
44,wireless Audio 270,Electronics,Audio,2766.16
45,essential Fiction 836,Books,Fiction,12333.85
46,modern Audio 721,Electronics,Audio,13020.15
47,urban Women 520,Clothing,Women,11935.67
48,cotton Kids 841,Clothing,Kids,13841.49
49,ergonomic Audio 494,Electronics,Audio,327.11
50,deluxe Business 198,Books,Business,13531.99
51,smart Mobiles 593,Electronics,Mobiles,13537.61
52,compact Cameras 530,Electronics,Cameras,728.1
53,daily Business 593,Books,Business,5768.05
54,cotton Cameras 360,Electronics,Cameras,3549.09
55,deluxe Computers 997,Electronics,Computers,3926.45
56,deluxe Mobiles 635,Electronics,Mobiles,187.34
57,ergonomic Kids 470,Clothing,Kids,6436.99
58,urban Furniture 648,Home,Furniture,5535.41
59,daily Storage 308,Home,Storage,11774.12
60,portable Business 672,Books,Business,3866.36
61,daily Furniture 822,Home,Furniture,2139.98
62,modern Audio 901,Electronics,Audio,2493.98
