order_id,product_id,old_name,category,sub_category,base_price,price,quantity,amount,discount,profit,status,priority,user_id,region,city,state,order_date,ship_date,payment_mode
1,1001,Mobile v1,Electronics,Mobile,1193.73,1649.03,9,14841.27,0.0,4097.7,Completed,Medium,10245.0,East,Kolkata,West Bengal,2026-03-09,2026-03-10,Net Banking
2,1002,Pen v1,Office Supplies,Pen,1463.13,2108.64,3,6325.92,0.15,1936.53,Completed,Medium,11274.0,West,Pune,Maharashtra,2025-12-15,2025-12-18,Debit Card
3,1003,Jacket v1,Clothing,Jacket,2351.18,2600.81,7,18205.67,0.0,1747.41,Completed,Medium,12963.0,North,Jaipur,Rajasthan,2025-10-28,2025-11-04,Debit Card
4,1004,Laptop v1,Electronics,Laptop,1462.07,1953.41,6,11720.46,0.05,2948.04,Completed,High,11717.0,North,Chandigarh,Chandigarh,2026-01-15,2026-01-18,Credit Card
5,1005,Microwave v1,Home Appliances,Microwave,1959.33,2929.76,9,26367.84,0.05,8733.87,Completed,Medium,10459.0,South,Chennai,Tamil Nadu,2025-11-29,2025-12-06,Credit Card
6,1006,Fan v1,Home Appliances,Fan,2546.23,3687.21,8,29497.68,0.05,9127.84,Completed,Medium,12021.0,South,Hyderabad,Telangana,2025-09-29,2025-10-01,Net Banking
7,1007,Printer v1,Office Supplies,Printer,2596.68,2832.74,1,2832.74,0.0,236.06,Completed,Medium,11311.0,South,Bengaluru,Karnataka,2025-06-06,2025-06-12,Cash
8,1008,Fan v1,Home Appliances,Fan,3631.54,4927.16,9,44344.44,0.1,11660.58,Cancelled,Low,12405.0,North,Jaipur,Rajasthan,2025-12-15,2025-12-16,Debit Card
9,1009,Microwave v1,Home Appliances,Microwave,1562.38,2089.73,10,20897.3,0.05,5273.5,Completed,High,11324.0,North,Jaipur,Rajasthan,2025-06-06,2025-06-09,Debit Card
10,1010,Notebook v1,Office Supplies,Notebook,4405.74,6274.87,5,31374.35,0.05,9345.65,Completed,High,14648.0,North,Chandigarh,Chandigarh,2025-03-01,2025-03-03,Net Banking
11,1011,Desk v1,Furniture,Desk,909.12,1170.45,10,11704.5,0.15,2613.3,Completed,Medium,11648.0,West,Pune,Maharashtra,2025-08-05,2025-08-10,Net Banking
12,1012,Notebook v1,Office Supplies,Notebook,413.73,438.33,9,3944.97,0.05,221.4,Completed,High,10582.0,South,Bengaluru,Karnataka,2025-08-14,2025-08-15,Debit Card
13,1013,Laptop v1,Electronics,Laptop,2478.53,3203.88,10,32038.8,0.2,7253.5,Completed,Medium,13875.0,East,Patna,Bihar,2026-04-30,2026-05-02,Cash
14,1014,Marker v1,Office Supplies,Marker,3301.93,4427.16,1,4427.16,0.15,1125.23,Completed,Medium,10896.0,North,Jaipur,Rajasthan,2025-12-14,2025-12-21,Debit Card
15,1015,Pen v1,Office Supplies,Pen,4059.31,5825.86,2,11651.72,0.0,3533.1,Completed,Medium,11937.0,North,Chandigarh,Chandigarh,2025-01-16,2025-01-17,UPI
16,1016,Sofa v1,Furniture,Sofa,1399.49,1963.25,8,15706.0,0.1,4510.08,Completed,Medium,14553.0,North,Chandigarh,Chandigarh,2026-03-10,2026-03-16,UPI
17,1017,Mixer v1,Home Appliances,Mixer,345.7,437.16,9,3934.44,0.05,823.14,Completed,Low,10657.0,East,Kolkata,West Bengal,2025-02-28,2025-03-05,Cash
18,1018,Laptop v1,Electronics,Laptop,501.72,675.22,10,6752.2,0.2,1735.0,Completed,High,11674.0,North,Jaipur,Rajasthan,2025-11-20,2025-11-23,Debit Card
19,1019,Printer v1,Office Supplies,Printer,2345.6,3516.77,2,7033.54,0.0,2342.34,Completed,Medium,12173.0,North,Delhi,Delhi,2025-08-07,2025-08-12,Debit Card
20,1020,Sofa v1,Furniture,Sofa,4920.88,6954.16,9,62587.44,0.0,18299.52,Completed,High,10849.0,East,Patna,Bihar,2025-11-03,2025-11-09,Net Banking
21,1021,Table v1,Furniture,Table,1132.09,1363.37,5,6816.85,0.2,1156.4,Completed,High,10417.0,East,Patna,Bihar,2026-05-16,2026-05-19,Credit Card
22,1022,Jeans v1,Clothing,Jeans,3557.77,4633.67,2,9267.34,0.0,2151.8,Completed,High,10296.0,West,Pune,Maharashtra,2025-06-02,2025-06-07,Debit Card
23,1023,Shirt v1,Clothing,Shirt,3442.13,4647.29,6,27883.74,0.2,7230.96,Completed,Low,11267.0,East,Kolkata,West Bengal,2026-02-21,2026-02-26,Credit Card
24,1024,Notebook v1,Office Supplies,Notebook,4629.99,6491.59,7,45441.13,0.05,13031.2,Completed,High,10886.0,South,Hyderabad,Telangana,2025-10-01,2025-10-03,Cash
25,1025,Jacket v1,Clothing,Jacket,215.96,245.53,6,1473.18,0.1,177.42,Completed,Low,12287.0,South,Bengaluru,Karnataka,2025-03-13,2025-03-20,Debit Card
26,1026,Mobile v1,Electronics,Mobile,2944.89,4395.54,1,4395.54,0.0,1450.65,Completed,Low,12570.0,East,Kolkata,West Bengal,2026-03-21,2026-03-24,Credit Card
27,1027,Shirt v1,Clothing,Shirt,2647.61,3740.89,4,14963.56,0.1,4373.12,Completed,Low,12705.0,West,Mumbai,Maharashtra,2026-03-18,2026-03-19,Net Banking
28,1028,Shoes v1,Clothing,Shoes,3516.32,4569.41,4,18277.64,0.15,4212.36,Completed,High,11426.0,East,Bhubaneswar,Odisha,2026-01-24,2026-01-30,Debit Card
29,1029,Sofa v1,Furniture,Sofa,2264.75,3066.54,9,27598.86,0.15,7216.11,Completed,High,10695.0,East,Bhubaneswar,Odisha,2025-06-23,2025-06-29,Credit Card
30,1030,Jeans v1,Clothing,Jeans,219.68,254.87,8,2038.96,0.2,281.52,Completed,Medium,13396.0,South,Bengaluru,Karnataka,2025-03-16,2025-03-20,Cash
31,1031,Desk v1,Furniture,Desk,3914.26,4495.44,9,40458.96,0.15,5230.62,Completed,Medium,12042.0,North,Delhi,Delhi,2025-02-21,2025-02-26,Net Banking
32,1032,Fan v1,Home Appliances,Fan,4093.53,5941.39,7,41589.73,0.2,12935.02,Pending,Medium,13889.0,West,Pune,Maharashtra,2026-04-02,2026-04-04,Net Banking
33,1033,Pen v1,Office Supplies,Pen,479.67,565.33,5,2826.65,0.1,428.3,Completed,Low,10661.0,East,Bhubaneswar,Odisha,2025-11-24,2025-11-29,UPI
34,1034,,Office Supplies,Marker,2383.03,2568.95,7,17982.65,0.15,1301.44,Completed,Low,14717.0,East,Patna,Bihar,2025-01-21,2025-01-28,Cash
