order_id,product_id,new_name,category,price,final_price,status,user_id
1,1001,Mobile v1,Electronics,1649.03,1408.6014,Completed,10245.0
2,1002,Pen v1,Office Supplies,2108.64,1726.4934,Completed,11274.0
3,1003,Jacket v1,Clothing,2600.81,2774.3923999999997,Completed,12963.0
4,1004,Laptop v1,Electronics,1953.41,1725.2425999999998,Completed,11717.0
5,1005,Microwave v1,Home Appliances,2929.76,2312.0094,Completed,10459.0
6,1006,Fan v1,Home Appliances,3687.21,3004.5514,Completed,12021.0
7,1007,Printer v1,Office Supplies,2832.74,3064.0824,Completed,11311.0
9,1009,Microwave v1,Home Appliances,2089.73,1843.6084,Completed,11324.0
10,1010,Notebook v1,Office Supplies,6274.87,5198.7732,Completed,14648.0
11,1011,Desk v1,Furniture,1170.45,1072.7616,Completed,11648.0
12,1012,Notebook v1,Office Supplies,438.33,488.2014,Completed,10582.0
13,1013,Laptop v1,Electronics,3203.88,2924.6654,Completed,13875.0
14,1014,Marker v1,Office Supplies,4427.16,3896.2773999999995,Completed,10896.0
15,1015,Pen v1,Office Supplies,5825.86,4789.9857999999995,Completed,11937.0
16,1016,Sofa v1,Furniture,1963.25,1651.3981999999999,Completed,14553.0
17,1017,Mixer v1,Home Appliances,437.16,407.926,Completed,10657.0
18,1018,Laptop v1,Electronics,675.22,592.0296,Completed,11674.0
19,1019,Printer v1,Office Supplies,3516.77,2767.8079999999995,Completed,12173.0
20,1020,Sofa v1,Furniture,6954.16,5806.6384,Completed,10849.0
21,1021,Table v1,Furniture,1363.37,1335.8662,Completed,10417.0
22,1022,Jeans v1,Clothing,4633.67,4198.1686,Completed,10296.0
23,1023,Shirt v1,Clothing,4647.29,4061.7134,Completed,11267.0
24,1024,Notebook v1,Office Supplies,6491.59,5463.388199999999,Completed,10886.0
25,1025,Jacket v1,Clothing,245.53,254.8328,Completed,12287.0
26,1026,Mobile v1,Electronics,4395.54,3474.9701999999997,Completed,12570.0
27,1027,Shirt v1,Clothing,3740.89,3124.1798,Completed,12705.0
28,1028,Shoes v1,Clothing,4569.41,4149.2576,Completed,11426.0
29,1029,Sofa v1,Furniture,3066.54,2672.4049999999997,Completed,10695.0
30,1030,Jeans v1,Clothing,254.87,259.2224,Completed,13396.0
31,1031,Desk v1,Furniture,4495.44,4618.8268,Completed,12042.0
